epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4807,6.52664,21.216,4.21278,0,0,0,0,6.91086,19.6119,4.1603,2e-05,2e-05,2e-05
2,12.2853,6.72269,28.1849,4.23135,0,0,0,0,6.91086,19.6119,4.16083,5.99406e-05,5.99406e-05,5.99406e-05
3,13.8861,6.56901,23.4722,4.1917,0,0,0,0,6.91086,19.6119,4.16162,9.9802e-05,9.9802e-05,9.9802e-05
4,15.1739,6.65635,26.4202,4.19951,0,0,0,0,6.91147,19.6501,4.1632,0.000139584,0.000139584,0.000139584
5,16.5578,6.57956,24.9609,4.21367,0,0,0,0,6.91147,19.6501,4.16365,0.000179287,0.000179287,0.000179287
6,18.0212,6.71065,28.1931,4.18245,0,0,0,0,6.91147,19.6501,4.16393,0.000218911,0.000218911,0.000218911
7,19.5042,6.63818,24.9909,4.11287,0,0,0,0,6.91006,19.5575,4.16139,0.000258456,0.000258456,0.000258456
8,20.9636,6.61913,24.04,4.04841,0,0,0,0,6.90981,19.5378,4.15922,0.000297921,0.000297921,0.000297921
9,22.4152,6.44547,17.9341,3.94759,0,0,0,0,6.90981,19.5378,4.15556,0.000337307,0.000337307,0.000337307
10,23.8802,6.64279,24.2304,3.82321,0,0,0,0,6.90955,19.5208,4.1524,0.000376614,0.000376614,0.000376614
11,25.3164,6.38786,23.5552,3.57482,0,0,0,0,6.90846,19.4442,4.15025,0.000415842,0.000415842,0.000415842
12,26.7375,5.78174,16.8606,3.31903,0,0,0,0,6.90952,19.5268,4.1516,0.000454991,0.000454991,0.000454991
13,28.2082,5.46799,13.083,3.16763,0,0,0,0,6.90952,19.5268,4.15802,0.00049406,0.00049406,0.00049406
14,29.6365,4.2853,10.0103,2.85576,0,0,0,0,6.91184,19.7034,4.16701,0.00053305,0.00053305,0.00053305
15,31.1047,3.87904,8.61406,2.75911,0,0,0,0,6.91488,19.9913,4.18329,0.000571961,0.000571961,0.000571961
16,32.5671,3.56142,7.63685,2.52283,0,0,0,0,6.91743,20.21,4.19965,0.000610793,0.000610793,0.000610793
17,34.3319,3.25196,7.00983,2.40165,0,0,0,0,6.92063,20.5255,4.21499,0.000649546,0.000649546,0.000649546
18,35.7875,3.07655,5.84331,2.14405,0,0,0,0,6.92467,20.8909,4.23237,0.000688219,0.000688219,0.000688219
19,37.2315,3.10961,4.63949,2.031,0,0,0,0,6.92774,21.2413,4.25362,0.000726813,0.000726813,0.000726813
20,38.6689,2.80569,4.83967,1.94659,0,0,0,0,6.93468,21.9653,4.28461,0.000765328,0.000765328,0.000765328
21,40.1072,2.73089,4.17712,1.80874,0,0,0,0,6.94136,22.7393,4.32675,0.000803764,0.000803764,0.000803764
22,41.5697,2.62269,4.04283,1.77685,0,0,0,0,6.94724,23.4539,4.35939,0.000842121,0.000842121,0.000842121
23,43.0268,2.57799,3.94806,1.71724,0,0,0,0,6.9484,23.6786,4.36981,0.000880398,0.000880398,0.000880398
24,44.4437,2.39296,3.66979,1.66442,0,0,0,0,6.95334,24.3935,4.40243,0.000918596,0.000918596,0.000918596
25,45.9186,2.28428,3.5771,1.50739,0,0,0,0,6.95696,24.891,4.42291,0.000956715,0.000956715,0.000956715
26,47.4003,2.27152,3.15689,1.599,0,0,0,0,6.95703,24.9816,4.42481,0.000994755,0.000994755,0.000994755
27,48.8788,2.07155,3.03676,1.48968,0,0,0,0,6.95703,25.084,4.42491,0.00103272,0.00103272,0.00103272
28,50.3306,2.07347,2.82926,1.44099,0,0,0,0,6.94147,23.1279,4.3327,0.0010706,0.0010706,0.0010706
29,51.8083,2.04496,2.65051,1.40598,0,0,0,0,6.91435,20.4474,4.19484,0.0011084,0.0011084,0.0011084
