epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.75765,6.69486,8.79007,0.78291,31.6748,4.20713,0,0,0,0,0.00014,0.04348,0.00016,3e-05,6.94207,7.80712,0.69918,19.7044,4.16087,6e-05,6e-05,6e-05
2,10.2281,6.65586,8.70744,0.77406,23.7068,4.18075,0,0,0,0,0,0,0,0,6.94255,7.81012,0.69895,19.7224,4.16307,0.000139861,0.000139861,0.000139861
3,11.7293,6.6657,8.73399,0.82195,29.6744,4.19063,0,0,0,0,0.00014,0.04348,0.00016,3e-05,6.94255,7.81634,0.69862,19.7224,4.16333,0.000219564,0.000219564,0.000219564
4,13.3531,6.59176,8.53968,0.75296,25.9805,4.11575,0,0,0,0,0.00014,0.04348,0.00016,3e-05,6.94099,7.81646,0.69829,19.6189,4.16207,0.000299109,0.000299109,0.000299109
5,14.9581,6.48095,8.68312,0.78008,21.7399,4.00092,0,0,0,0,0.00014,0.04348,0.00016,3e-05,6.94099,7.8083,0.69788,19.6189,4.15792,0.000378495,0.000378495,0.000378495
6,16.5978,6.31061,8.22624,0.71429,17.6503,3.71753,0,0,0,0,0.00014,0.04348,0.00015,3e-05,6.93738,7.8056,0.6969,19.3417,4.14884,0.000457723,0.000457723,0.000457723
7,18.3697,5.45334,7.91532,0.71717,13.7429,3.15873,0,0,0,0,0.00014,0.04348,0.00016,3e-05,6.93735,7.79835,0.69497,19.3621,4.15156,0.000536792,0.000536792,0.000536792
8,20.0305,4.30885,7.87493,0.70327,9.79622,2.5826,0,0,0,0,0.00014,0.04348,0.00016,3e-05,6.93937,7.78318,0.6932,19.5366,4.16022,0.000615703,0.000615703,0.000615703
9,21.8489,3.52795,7.56248,0.70882,7.15713,2.26784,0,0,0,0,0,0,0,0,6.94369,7.76674,0.69136,19.9015,4.17495,0.000694456,0.000694456,0.000694456
10,23.7282,3.40299,7.46016,0.69813,6.09855,2.15592,0,0,0,0,0,0,0,0,6.9492,7.76685,0.69052,20.454,4.20795,0.00077305,0.00077305,0.00077305
11,25.3012,3.15329,7.26624,0.69288,5.31641,2.12076,0,0,0,0,0,0,0,0,6.95697,7.77362,0.68979,21.2553,4.24664,0.000851486,0.000851486,0.000851486
12,26.8843,2.91961,7.24847,0.68291,4.7227,1.91324,0,0,0,0,0.00014,0.04348,8e-05,1e-05,6.96564,7.77452,0.68934,22.1931,4.28881,0.000929763,0.000929763,0.000929763
13,28.4987,2.8674,7.25256,0.67406,4.64829,1.7742,0,0,0,0,0,0,0,0,6.97264,7.78148,0.68988,23.0697,4.32916,0.00100788,0.00100788,0.00100788
14,30.2471,2.60248,7.01925,0.6676,3.89524,1.82853,0,0,0,0,0,0,0,0,6.97111,7.78184,0.68751,22.9994,4.31529,0.00108584,0.00108584,0.00108584
15,31.7881,2.47156,7.00954,0.65988,3.58369,1.58991,0,0,0,0,0,0,0,0,6.97008,7.74999,0.68633,22.9904,4.3107,0.00116365,0.00116365,0.00116365
16,33.3978,2.3025,6.87577,0.64743,3.59686,1.5725,0,0,0,0,0,0,0,0,6.96209,7.7302,0.68316,22.3078,4.26955,0.00124129,0.00124129,0.00124129
17,35.0857,2.30085,6.9018,0.64272,3.41871,1.61065,0,0,0,0,0,0,0,0,6.95751,7.71616,0.68083,21.974,4.24425,0.00131877,0.00131877,0.00131877
18,36.7428,2.18205,6.72086,0.6224,3.03627,1.5786,0,0,0,0,0.00014,0.04348,8e-05,1e-05,6.93095,7.6648,0.67091,18.1543,4.1165,0.0013961,0.0013961,0.0013961
19,38.3729,2.16008,6.66112,0.61024,2.71754,1.5679,0,0,0,0,0,0,0,0,6.8759,7.58889,0.65748,15.2408,3.91356,0.00147327,0.00147327,0.00147327
20,39.9733,2.17872,6.59896,0.6074,2.62695,1.47774,0,0,0,0,0.00014,0.04348,8e-05,1e-05,6.81809,7.56646,0.65065,13.4976,3.75641,0.00155028,0.00155028,0.00155028
21,41.6773,1.98237,6.69207,0.57513,2.62402,1.47849,0,0,0,0,0.00014,0.04348,8e-05,1e-05,6.80668,7.58733,0.65134,13.2716,3.74794,0.00162713,0.00162713,0.00162713
22,43.46,1.94103,6.59686,0.56944,2.39098,1.39523,0,0,0,0,0,0,0,0,6.7652,7.60544,0.64805,12.3855,3.67463,0.00170383,0.00170383,0.00170383
23,45.0638,2.00136,6.59814,0.56315,2.37036,1.37717,0,0,0,0,0,0,0,0,6.72835,7.57828,0.6303,11.6997,3.6224,0.00178036,0.00178036,0.00178036
24,46.6498,1.86718,6.63266,0.52746,2.22258,1.38226,0,0,0,0,0,0,0,0,6.70621,7.57275,0.6179,11.6246,3.58476,0.00185674,0.00185674,0.00185674
25,48.2475,1.88532,6.53971,0.52423,2.12402,1.31535,0,0,0,0,0,0,0,0,6.68123,7.54586,0.60782,11.3696,3.54997,0.00193296,0.00193296,0.00193296
26,49.7942,1.78755,6.44814,0.50092,2.023,1.31953,0,0,0,0,0,0,0,0,6.73845,7.57944,0.6129,7.26113,3.63698,0.0019505,0.0019505,0.0019505
27,51.3497,1.77502,6.14813,0.48815,2.04612,1.30275,0,0,0,0,0.00029,0.08696,0.00017,2e-05,6.71649,7.62736,0.62883,6.94056,3.61195,0.00194852,0.00194852,0.00194852
28,52.903,1.6553,6.42335,0.46856,1.76017,1.2662,0,0,0,0,0,0,0,0,6.70184,8.43139,0.94421,10.9478,3.62742,0.00194654,0.00194654,0.00194654
29,54.5773,1.75365,6.23174,0.4532,1.78836,1.27974,0,0,0,0,0,0,0,0,6.8014,10.5356,2.09653,11.839,3.8412,0.00194456,0.00194456,0.00194456
30,56.1769,1.60387,6.20682,0.42648,1.65657,1.20962,0,0,0,0,0,0,0,0,6.8116,11.1887,2.95807,6.73397,3.95273,0.00194258,0.00194258,0.00194258
31,57.7686,1.50861,6.09697,0.40917,1.59205,1.18049,0,0,0,0,0,0,0,0,6.84341,11.2833,3.65717,5.26044,4.09723,0.0019406,0.0019406,0.0019406
32,59.3367,1.60929,6.36173,0.41818,1.51837,1.18584,0,0,0,0,0,0,0,0,6.71964,10.723,2.28252,10.1736,3.64447,0.00193862,0.00193862,0.00193862
33,60.9151,1.63587,6.05026,0.40788,1.55165,1.22266,0,0,0,0,0,0,0,0,6.723,10.4823,1.85544,7.20003,3.63273,0.00193664,0.00193664,0.00193664
34,62.4647,1.57403,6.0964,0.38532,1.52067,1.18932,0,0,0,0,0,0,0,0,6.80044,10.09,1.58972,5.97196,3.77645,0.00193466,0.00193466,0.00193466
35,64.0682,1.5539,5.9668,0.35519,1.44452,1.17784,0,0,0,0,0,0,0,0,6.75058,9.35485,1.22743,5.8903,3.66455,0.00193268,0.00193268,0.00193268
36,65.6385,1.50379,6.13221,0.36097,1.44416,1.16118,0,0,0,0,0,0,0,0,6.6333,9.45813,1.2151,5.84876,3.47389,0.0019307,0.0019307,0.0019307
37,67.1636,1.52094,6.18366,0.33099,1.402,1.21174,0,0,0,0,0.00014,0.04348,8e-05,1e-05,6.31991,9.24785,1.08047,5.73483,3.17159,0.00192872,0.00192872,0.00192872
38,68.8205,1.51801,6.01996,0.29355,1.40044,1.17837,0,0,0,0,0,0,0,0,6.14444,10.2037,1.47096,5.91376,3.07177,0.00192674,0.00192674,0.00192674
39,70.3954,1.42897,5.97765,0.28733,1.24568,1.13046,0,0,0,0,0,0,0,0,6.34033,11.0719,2.2475,7.78602,3.22678,0.00192476,0.00192476,0.00192476
40,71.9268,1.61575,5.8916,0.24006,1.42261,1.19497,0,0,0,0,0,0,0,0,6.20529,11.1424,2.49415,7.39938,3.1404,0.00192278,0.00192278,0.00192278
41,73.5078,1.54677,6.17672,0.28885,1.32094,1.18683,0,0,0,0,0,0,0,0,4.95081,10.7,1.97517,4.99152,2.53047,0.0019208,0.0019208,0.0019208
42,75.0395,1.54807,6.12888,0.30027,1.34902,1.12635,0.00043,0.13043,0.00539,0.00065,0,0,0,0,3.6977,9.48309,1.2696,4.1879,2.09144,0.00191882,0.00191882,0.00191882
43,76.5829,1.49019,5.67143,0.29297,1.27703,1.13032,0.00101,0.30435,0.09159,0.03165,0,0,0,0,2.9591,8.91429,0.99009,3.69569,1.83945,0.00191684,0.00191684,0.00191684
44,78.1548,1.41823,5.67746,0.23108,1.15857,1.08436,0.00154,0.43478,0.10597,0.04952,0,0,0,0,2.67963,9.27923,1.3295,3.35734,1.78028,0.00191486,0.00191486,0.00191486
45,79.7813,1.32276,5.76132,0.24902,1.19844,1.09808,0.84465,0.23807,0.35245,0.17929,0.00033,0.08696,0.00427,0.00047,2.07414,8.51775,0.98571,2.64554,1.54796,0.00191288,0.00191288,0.00191288
46,81.3347,1.31296,5.53396,0.23294,1.10586,1.05939,1,0.61459,0.65734,0.3387,0.00131,0.30435,0.02465,0.00357,1.88129,7.25603,0.43999,2.0226,1.46274,0.0019109,0.0019109,0.0019109
